Country_Code,Invader_Species,Role,Email
afghanistan,aliens,attack_role,stature@avengers.com
afghanistan,predators,attack_role,stature@avengers.com
afghanistan,d&d_beholder,attack_role,stature@avengers.com
afghanistan,d&d_beholder,defense_role,stature@avengers.com
afghanistan,d&d_beholder,healing_role,agent.venom@avengers.com
afghanistan,d&d_devil,attack_role,stature@avengers.com
afghanistan,d&d_devil,defense_role,stature@avengers.com
afghanistan,d&d_devil,healing_role,batman@dc-world.com
afghanistan,d&d_lich,attack_role,stature@avengers.com
afghanistan,d&d_lich,defense_role,stature@avengers.com
afghanistan,d&d_lich,healing_role,hulk@avengers.com
afghanistan,d&d_mind_flayer,attack_role,stature@avengers.com
afghanistan,d&d_mind_flayer,defense_role,stature@avengers.com
afghanistan,d&d_mind_flayer,healing_role,havok@avengers.com
afghanistan,d&d_vampire,attack_role,stature@avengers.com
afghanistan,d&d_vampire,defense_role,stature@avengers.com
afghanistan,d&d_vampire,healing_role,sunspot@avengers.com
afghanistan,d&d_red_dragon,attack_role,stature@avengers.com
afghanistan,d&d_red_dragon,defense_role,stature@avengers.com
afghanistan,d&d_red_dragon,healing_role,smasher@avengers.com
afghanistan,d&d_hill_giant,attack_role,stature@avengers.com
afghanistan,d&d_hill_giant,defense_role,stature@avengers.com
afghanistan,d&d_hill_giant,healing_role,hawkeye@avengers.com
afghanistan,d&d_treant,attack_role,stature@avengers.com
afghanistan,d&d_treant,defense_role,stature@avengers.com
afghanistan,d&d_treant,healing_role,hawkeye@avengers.com
afghanistan,d&d_werewolf,attack_role,stature@avengers.com
afghanistan,d&d_werewolf,defense_role,stature@avengers.com
afghanistan,d&d_werewolf,healing_role,rogue@avengers.com
afghanistan,d&d_yuan-ti,attack_role,stature@avengers.com
afghanistan,d&d_yuan-ti,defense_role,stature@avengers.com
afghanistan,d&d_yuan-ti,healing_role,abyss@avengers.com
albania,aliens,attack_role,iron.man@avengers.com
albania,predators,attack_role,thor@avengers.com
albania,d&d_beholder,attack_role,wasp@avengers.com
albania,d&d_beholder,defense_role,wasp@avengers.com
albania,d&d_beholder,healing_role,wasp@avengers.com
albania,d&d_devil,attack_role,ant.man@avengers.com
albania,d&d_devil,defense_role,ant.man@avengers.com
albania,d&d_devil,healing_role,batman@dc-world.com
albania,d&d_lich,attack_role,hulk@avengers.com
albania,d&d_lich,defense_role,hulk@avengers.com
albania,d&d_lich,healing_role,hulk@avengers.com
albania,d&d_mind_flayer,attack_role,captain.america@avengers.com
