Country_Code	Invader_Species	Role	Email
afghanistan	aliens	attack_role	stature
afghanistan	aliens	attack_role	stature
afghanistan	aliens	attack_role	stature
afghanistan	aliens	defense_role	stature
afghanistan	aliens	healing_role	agent.venom
afghanistan	aliens	attack_role	stature
afghanistan	aliens	defense_role	stature
afghanistan	aliens	healing_role	batman@dc-world.com
afghanistan	aliens	attack_role	stature
afghanistan	aliens	defense_role	stature
afghanistan	aliens	healing_role	hulk
afghanistan	aliens	attack_role	stature
afghanistan	aliens	defense_role	stature
afghanistan	aliens	healing_role	havok
afghanistan	aliens	attack_role	stature
afghanistan	aliens	defense_role	stature
afghanistan	aliens	healing_role	sunspot
afghanistan	aliens	attack_role	stature
afghanistan	aliens	defense_role	stature
afghanistan	aliens	healing_role	smasher
afghanistan	aliens	attack_role	stature
afghanistan	aliens	defense_role	stature
afghanistan	aliens	healing_role	hawkeye
afghanistan	aliens	attack_role	stature
afghanistan	aliens	defense_role	stature
afghanistan	aliens	healing_role	hawkeye
afghanistan	aliens	attack_role	stature
afghanistan	aliens	defense_role	stature
afghanistan	aliens	healing_role	rogue
afghanistan	aliens	attack_role	stature
afghanistan	aliens	defense_role	stature
afghanistan	aliens	healing_role	abyss
afghanistan	predators	attack_role	stature
afghanistan	predators	attack_role	stature
afghanistan	predators	attack_role	stature
afghanistan	predators	defense_role	stature
afghanistan	predators	healing_role	agent.venom
afghanistan	predators	attack_role	stature
afghanistan	predators	defense_role	stature
afghanistan	predators	healing_role	batman@dc-world.com
afghanistan	predators	attack_role	stature
afghanistan	predators	defense_role	stature
afghanistan	predators	healing_role	hulk
afghanistan	predators	attack_role	stature
afghanistan	predators	defense_role	stature
afghanistan	predators	healing_role	havok
afghanistan	predators	attack_role	stature
afghanistan	predators	defense_role	stature
afghanistan	predators	healing_role	sunspot
afghanistan	predators	attack_role	stature
afghanistan	predators	defense_role	stature
afghanistan	predators	healing_role	smasher
afghanistan	predators	attack_role	stature
afghanistan	predators	defense_role	stature
afghanistan	predators	healing_role	hawkeye
afghanistan	predators	attack_role	stature
afghanistan	predators	defense_role	stature
afghanistan	predators	healing_role	hawkeye
afghanistan	predators	attack_role	stature
afghanistan	predators	defense_role	stature
afghanistan	predators	healing_role	rogue
afghanistan	predators	attack_role	stature
afghanistan	predators	defense_role	stature
afghanistan	predators	healing_role	abyss
afghanistan	dd_monsters	attack_role	stature
afghanistan	dd_monsters	attack_role	stature
afghanistan	dd_monsters	attack_role	stature
afghanistan	dd_monsters	defense_role	stature
afghanistan	dd_monsters	healing_role	agent.venom
afghanistan	dd_monsters	attack_role	stature
afghanistan	dd_monsters	defense_role	stature
afghanistan	dd_monsters	healing_role	batman@dc-world.com
afghanistan	dd_monsters	attack_role	stature
afghanistan	dd_monsters	defense_role	stature
afghanistan	dd_monsters	healing_role	hulk
afghanistan	dd_monsters	attack_role	stature
afghanistan	dd_monsters	defense_role	stature
afghanistan	dd_monsters	healing_role	havok
afghanistan	dd_monsters	attack_role	stature
afghanistan	dd_monsters	defense_role	stature
afghanistan	dd_monsters	healing_role	sunspot
afghanistan	dd_monsters	attack_role	stature
afghanistan	dd_monsters	defense_role	stature
afghanistan	dd_monsters	healing_role	smasher
afghanistan	dd_monsters	attack_role	stature
afghanistan	dd_monsters	defense_role	stature
afghanistan	dd_monsters	healing_role	hawkeye
afghanistan	dd_monsters	attack_role	stature
afghanistan	dd_monsters	defense_role	stature
afghanistan	dd_monsters	healing_role	hawkeye
afghanistan	dd_monsters	attack_role	stature
afghanistan	dd_monsters	defense_role	stature
afghanistan	dd_monsters	healing_role	rogue
afghanistan	dd_monsters	attack_role	stature
afghanistan	dd_monsters	defense_role	stature
afghanistan	dd_monsters	healing_role	abyss
albania	aliens	attack_role	iron.man
albania	aliens	attack_role	thor
albania	aliens	attack_role	wasp
albania	aliens	defense_role	wasp
albania	aliens	healing_role	wasp
albania	aliens	attack_role	ant.man
albania	aliens	defense_role	ant.man
albania	aliens	healing_role	batman@dc-world.com
albania	aliens	attack_role	hulk
albania	aliens	defense_role	hulk
albania	aliens	healing_role	hulk
albania	aliens	attack_role	capatain.america
albania	aliens	defense_role	capatain.america
albania	aliens	healing_role	capatain.america
albania	aliens	attack_role	capatain.america
albania	aliens	defense_role	capatain.america
albania	aliens	healing_role	capatain.america
albania	aliens	attack_role	capatain.america
albania	aliens	defense_role	capatain.america
albania	aliens	healing_role	capatain.america
albania	aliens	attack_role	hawkeye
albania	aliens	defense_role	hawkeye
albania	aliens	healing_role	hawkeye
albania	aliens	attack_role	hawkeye
albania	aliens	defense_role	hawkeye
albania	aliens	healing_role	hawkeye
albania	aliens	attack_role	capatain.america
albania	aliens	defense_role	capatain.america
albania	aliens	healing_role	capatain.america
albania	aliens	attack_role	capatain.america
